Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,50 point average,,
1744340767,22,125,94,1,,,80.82352941,,80.82352941,,80.82352941,,
1744340767,28,165,94,1,,,80.54901961,,80.54901961,,80.54901961,,
1744340767,23,1330,94,1,,,80.2745098,,80.2745098,,80.2745098,,
1744340767,23,318,80,1,,,80.11764706,,80.11764706,,80.11764706,,
1744340767,22,35,80,1,,,80.23529412,,80.23529412,,80.23529412,,
1744340767,24,28,80,1,,,80.35294118,,80.35294118,,80.35294118,,
1744340767,36,30,80,1,,,80.47058824,,80.47058824,,80.47058824,,
1744340767,37,31,80,1,,,80.58823529,,80.58823529,,80.58823529,,
1744340767,30,32,80,1,,,80.70588235,,80.70588235,,80.70588235,,
1744340767,24,40,80,1,,,80.82352941,,80.82352941,,80.82352941,,
1744340768,20,34,80,1,,,80.94117647,,80.94117647,,80.94117647,,
1744340768,24,35,80,1,,,81.05882353,,81.05882353,,81.05882353,,
1744340768,24,31,80,1,,,81.17647059,,81.17647059,,81.17647059,,
1744340768,33,31,80,1,,,81.29411765,,81.29411765,,81.29411765,,
1744340768,30,34,80,1,,,81.41176471,,81.41176471,,81.41176471,,
1744340768,19,37,80,1,,,81.52941176,,81.52941176,,81.52941176,,
1744340768,25,42,80,1,,,81.64705882,,81.64705882,,81.64705882,,
1744340768,31,33,80,1,,,81.76470588,,81.76470588,,81.76470588,,
1744340768,33,35,80,1,,,81.88235294,,81.88235294,,81.88235294,,
1744340768,34,32,80,1,,,82,,82,,82,,
1744340769,30,34,80,1,,,82.11764706,,82.11764706,,82.11764706,,
1744340769,25,39,80,1,,,82.23529412,,82.23529412,,82.23529412,,
1744340769,23,36,80,1,,,82.35294118,,82.35294118,,82.35294118,,
1744340769,23,37,80,1,,,82.47058824,,82.47058824,,82.47058824,,
1744340769,33,30,80,1,,,82.58823529,,82.58823529,,82.58823529,,
1744340769,32,35,80,1,,,82.70588235,,82.70588235,,82.70588235,,
1744340769,34,35,80,1,,,82.82352941,,82.82352941,,82.82352941,,
1744340769,28,42,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340779,28,34,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340779,35,39,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,33,33,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,24,41,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,23,39,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,31,38,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,23,30,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,21,36,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,29,34,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,25,35,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,21,30,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340780,27,35,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,34,36,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,31,29,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,27,41,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,22,35,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,21,36,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,27,35,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,37,30,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,31,38,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,31,32,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340781,31,36,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340782,1467,33,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340782,2046,34,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340782,15,32,80,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340782,15,32,86,1,,,82.94117647,,82.94117647,,82.94117647,,
1744340782,314,32,86,1,,,82.82352941,,82.82352941,,82.82352941,,
1744340782,1075,1811,86,1,,,82.70588235,,82.70588235,,82.70588235,,
1744340782,148,816,86,1,,,82.58823529,,82.58823529,,82.58823529,,
1744340782,33,816,86,1,,,82.47058824,,82.47058824,,82.47058824,,
1744340782,29,816,86,1,,,82.35294118,,82.35294118,,82.35294118,,
1744340782,25,595,86,1,,,82.23529412,,82.23529412,,82.23529412,,
1744340783,24,633,86,1,,,82.11764706,,82.11764706,,82.11764706,,
1744340783,24,86,86,1,,,82,,82,,82,,
1744340783,29,35,86,1,,,81.88235294,,81.88235294,,81.88235294,,
1744340783,27,29,86,1,,,81.76470588,,81.76470588,,81.76470588,,
1744340783,32,30,86,1,,,81.64705882,,81.64705882,,81.64705882,,
1744340783,30,33,86,1,,,81.52941176,,81.52941176,,81.52941176,,
1744340783,33,44,86,1,,,81.41176471,,81.41176471,,81.41176471,,
1744340783,28,33,86,1,,,81.29411765,,81.29411765,,81.29411765,,
1744340783,27,30,86,1,,,81.17647059,,81.17647059,,81.17647059,,
1744340783,27,33,86,1,,,81.05882353,,81.05882353,,81.05882353,,
1744340784,36,35,86,1,,,80.94117647,,80.94117647,,80.94117647,,
1744340784,29,40,86,1,,,80.82352941,,80.82352941,,80.82352941,,
1744340784,21,28,86,1,,,80.70588235,,80.70588235,,80.70588235,,
1744340784,25,40,86,1,,,80.58823529,,80.58823529,,80.58823529,,
1744340784,29,32,86,1,,,80.47058824,,80.47058824,,80.47058824,,
1744340784,25,36,86,1,,,80.35294118,,80.35294118,,80.35294118,,
1744340784,31,28,86,1,,,80.23529412,,80.23529412,,80.23529412,,
1744340784,21,33,86,1,,,80.11764706,,80.11764706,,80.11764706,,
1744340784,21,31,80,1,,,80.1372549,,80.1372549,,80.1372549,,
1744340784,24,30,80,1,,,80.2745098,,80.2745098,,80.2745098,,
1744340785,37,29,80,1,,,80.41176471,,80.41176471,,80.41176471,,
1744340785,31,32,80,1,,,80.54901961,,80.54901961,,80.54901961,,
1744340785,33,37,80,1,,,80.68627451,,80.68627451,,80.68627451,,
1744340785,22,37,80,1,,,80.82352941,,80.82352941,,80.82352941,,
1744340785,29,41,80,1,,,80.96078431,,80.96078431,,80.96078431,,
1744340785,29,37,80,1,,,81.09803922,,81.09803922,,81.09803922,,
1744340785,41,25,80,1,,,81.23529412,,81.23529412,,81.23529412,,
1744340785,41,34,80,1,,,81.37254902,,81.37254902,,81.37254902,,
1744340785,41,37,80,1,,,81.50980392,,81.50980392,,81.50980392,,
1744340785,1421,35,80,1,,,81.64705882,,81.64705882,,81.64705882,,
1744340786,1039,35,80,1,,,81.78431373,,81.78431373,,81.78431373,,
1744340786,1039,29,80,1,,,81.92156863,,81.92156863,,81.92156863,,
1744340786,1039,29,80,1,,,82.05882353,,82.05882353,,82.05882353,,
1744340786,435,29,80,1,,,82.19607843,,82.19607843,,82.19607843,,
1744340786,697,2219,80,1,,,82.33333333,,82.33333333,,82.33333333,,
1744340786,117,650,80,1,,,82.47058824,,82.47058824,,82.47058824,,
1744340786,27,650,80,1,,,82.60784314,,82.60784314,,82.60784314,,
1744340786,29,650,80,1,,,82.74509804,,82.74509804,,82.74509804,,
1744340786,31,930,80,1,,,82.88235294,,82.88235294,,82.88235294,,
1744340786,28,691,80,1,,,83.01960784,,83.01960784,,83.01960784,,
1744340787,23,41,80,1,,,83.15686275,,83.15686275,,83.15686275,,
1744340787,25,36,80,1,,,83.29411765,,83.29411765,,83.29411765,,
1744340787,27,27,80,1,,,83.43137255,,83.43137255,,83.43137255,,
1744340787,25,36,80,1,,,83.78431373,,83.78431373,,83.78431373,,
1744340787,26,30,80,1,,,84.1372549,,84.1372549,,84.1372549,,
1744340787,30,31,80,1,,,84.49019608,,84.49019608,,84.49019608,,
1744340787,33,40,80,1,,,84.84313725,,84.84313725,,84.84313725,,
1744340787,29,30,80,1,,,85.19607843,,85.19607843,,85.19607843,,
1744340787,29,38,80,1,,,85.54901961,,85.54901961,,85.54901961,,
1744340787,29,32,80,1,,,85.90196078,,85.90196078,,85.90196078,,
1744340788,28,38,80,1,,,86.25490196,,86.25490196,,86.25490196,,
1744340788,21,35,80,1,,,86.60784314,,86.60784314,,86.60784314,,
1744340788,30,27,80,1,,,86.96078431,,86.96078431,,86.96078431,,
1744340788,32,28,80,1,,,87.31372549,,87.31372549,,87.31372549,,
1744340788,33,32,80,1,,,87.66666667,,87.66666667,,87.66666667,,
1744340788,27,33,80,1,,,88.01960784,,88.01960784,,88.01960784,,
1744340788,32,38,80,1,,,88.37254902,,88.37254902,,88.37254902,,
1744340788,27,37,80,1,,,88.7254902,,88.7254902,,88.7254902,,
1744340788,28,37,80,1,,,89.07843137,,89.07843137,,89.07843137,,
1744340788,29,28,80,1,,,89.43137255,,89.43137255,,89.43137255,,
1744340789,31,36,80,1,,,89.78431373,,89.78431373,,89.78431373,,
1744340789,29,37,80,1,,,90.1372549,,90.1372549,,90.1372549,,
1744340789,23,41,80,1,,,90.49019608,,90.49019608,,90.49019608,,
1744340789,29,37,80,1,,,90.84313725,,90.84313725,,90.84313725,,
1744340789,25,28,80,1,,,91.19607843,,91.19607843,,91.19607843,,
1744340789,31,36,80,1,,,91.54901961,,91.54901961,,91.54901961,,
1744340789,31,28,80,1,,,91.90196078,,91.90196078,,91.90196078,,
1744340789,31,31,80,1,,,92.25490196,,92.25490196,,92.25490196,,
1744340789,549,35,87,1,,,92.62745098,,92.62745098,,92.62745098,,
1744340789,2208,32,87,1,,,92.8627451,,92.8627451,,92.8627451,,
1744340790,279,37,87,1,,,93.09803922,,93.09803922,,93.09803922,,
1744340790,279,37,87,1,,,93.33333333,,93.33333333,,93.33333333,,
1744340790,279,37,87,1,,,,,93.56862745,,93.56862745,,
1744340790,841,875,87,1,,,,,93.80392157,,93.80392157,,
1744340790,430,1730,87,1,,,,,94.03921569,,94.03921569,,
1744340790,52,309,87,1,,,,,94.2745098,,94.2745098,,
1744340790,31,309,87,1,,,,,94.50980392,,94.50980392,,
1744340790,29,309,87,1,,,,,94.74509804,,94.74509804,,
1744340790,31,1048,87,1,,,,,94.98039216,,94.98039216,,
1744340790,29,403,87,1,,,,,95.21568627,,95.21568627,,
1744340791,26,39,87,1,,,,,95.45098039,,95.45098039,,
1744340791,18,45,87,1,,,,,95.68627451,,95.68627451,,
1744340791,34,31,87,1,,,,,95.92156863,,95.92156863,,
1744340791,27,34,87,1,,,,,96.15686275,,96.15686275,,
1744340791,35,32,87,1,,,,,96.39215686,,96.39215686,,
1744340791,31,36,87,1,,,,,96.62745098,,96.62745098,,
1744340791,21,42,87,1,,,,,96.8627451,,96.8627451,,
1744340791,25,37,87,1,,,,,97.09803922,,97.09803922,,
1744340791,27,38,87,1,,,,,97.33333333,,97.33333333,,
1744340791,33,27,87,1,,,,,97.56862745,,97.56862745,,
1744340792,31,39,87,1,,,,,97.80392157,,97.80392157,,
1744340792,23,34,87,1,,,,,98.03921569,,98.03921569,,
1744340792,29,33,87,1,,,,,98.2745098,,98.2745098,,
1744340792,33,28,98,1,,,,,98.1372549,,98.1372549,,
1744340792,39,25,98,1,,,,,97.78431373,,97.78431373,,
1744340792,30,34,98,1,,,,,97.43137255,,97.43137255,,
1744340792,31,39,98,1,,,,,97.07843137,,97.07843137,,
1744340792,25,36,98,1,,,,,96.7254902,,96.7254902,,
1744340792,27,30,98,1,,,,,96.37254902,,96.37254902,,
1744340792,25,26,98,1,,,,,96.01960784,,96.01960784,,
1744340793,37,27,98,1,,,,,95.66666667,,95.66666667,,
1744340793,31,33,98,1,,,,,95.31372549,,95.31372549,,
1744340793,26,34,98,1,,,,,94.96078431,,94.96078431,,
1744340793,24,34,98,1,,,,,94.60784314,,94.60784314,,
1744340793,27,41,98,1,,,,,94.25490196,,94.25490196,,
1744340793,26,37,98,1,,,,,93.90196078,,93.90196078,,
1744340793,26,29,98,1,,,,,93.54901961,,93.54901961,,
1744340793,26,28,98,1,,,,,93.19607843,,93.19607843,,
1744340793,1277,39,98,1,,,,,92.84313725,,92.84313725,,
1744340793,2096,34,98,1,,,,,92.49019608,,92.49019608,,
1744340794,82,31,98,1,,,,,92.1372549,,92.1372549,,
1744340794,82,31,98,1,,,,,91.78431373,,91.78431373,,
1744340794,71,31,98,1,,,,,91.43137255,,91.43137255,,
1744340794,916,1243,98,1,,,,,91.07843137,,91.07843137,,
1744340794,295,1317,98,1,,,,,90.7254902,,90.7254902,,
1744340794,45,111,98,1,,,,,90.37254902,,90.37254902,,
1744340794,34,111,98,1,,,,,90.01960784,,90.01960784,,
1744340794,37,177,98,1,,,,,89.66666667,,89.66666667,,
1744340794,34,860,99,1,,,,,89.17647059,,89.17647059,,
1744340794,33,185,99,1,,,,,88.66666667,,88.66666667,,
1744340795,33,36,99,1,,,,,88.15686275,,88.15686275,,
1744340795,25,43,99,1,,,,,87.64705882,,87.64705882,,
1744340795,27,37,99,1,,,,,87.1372549,,87.1372549,,
1744340795,33,37,99,1,,,,,86.62745098,,86.62745098,,
1744340795,34,39,99,1,,,,,86.11764706,,86.11764706,,
1744340795,18,37,99,1,,,,,85.60784314,,85.60784314,,
1744340795,24,42,99,1,,,,,85.09803922,,85.09803922,,
1744340795,24,33,99,1,,,,,84.58823529,,84.58823529,,
1744340795,30,34,99,1,,,,,84.07843137,,84.07843137,,
1744340795,28,34,99,1,,,,,83.56862745,,83.56862745,,
1744340796,28,34,99,1,,,,,83.05882353,,83.05882353,,
1744340796,27,39,99,1,,,,,82.54901961,,82.54901961,,
1744340796,28,36,99,1,,,,,82.03921569,,82.03921569,,
1744340796,32,36,99,1,,,,,81.52941176,,81.52941176,,
1744340796,34,31,99,1,,,,,81.01960784,,81.01960784,,
1744340796,31,30,99,1,,,,,80.50980392,,80.50980392,,
1744340796,26,34,99,1,,,,,80,,80,,
1744340796,21,32,99,1,,,,,79.49019608,,79.49019608,,
1744340796,23,40,99,1,,,,,78.98039216,,78.98039216,,
1744340796,27,32,99,1,,,,,78.47058824,,78.47058824,,
1744340797,32,26,99,1,,,,,77.96078431,,77.96078431,,
1744340797,31,38,99,1,,,,,77.45098039,,77.45098039,,
1744340797,30,37,99,1,,,,,76.94117647,,76.94117647,,
1744340797,39,22,80,1,,,,,76.60784314,,76.60784314,,
1744340797,21,40,80,1,,,,,76.64705882,,76.64705882,,
1744340797,19,34,80,1,,,,,76.68627451,,76.68627451,,
1744340797,19,28,80,1,,,,,76.7254902,,76.7254902,,
1744340797,23,32,80,1,,,,,76.76470588,,76.76470588,,
1744340797,2151,43,80,1,,,,,76.80392157,,76.80392157,,
1744340797,673,36,80,1,,,,,76.84313725,,76.84313725,,
1744340798,673,36,80,1,,,,,76.88235294,,76.88235294,,
1744340798,673,36,80,1,,,,,76.92156863,,76.92156863,,
1744340798,947,1405,80,1,,,,,76.96078431,,76.96078431,,
1744340798,513,1970,80,1,,,,,77,,77,,
1744340798,21,53,80,1,,,,,77.03921569,,77.03921569,,
1744340798,29,53,80,1,,,,,77.07843137,,77.07843137,,
1744340798,33,204,80,1,,,,,77.11764706,,77.11764706,,
1744340798,36,975,80,1,,,,,77.15686275,,77.15686275,,
1744340798,34,220,80,1,,,,,77.19607843,,77.19607843,,
1744340798,27,32,80,1,,,,,77.23529412,,77.23529412,,
1744340799,27,41,80,1,,,,,77.2745098,,77.2745098,,
1744340799,25,32,80,1,,,,,77.31372549,,77.31372549,,
1744340799,31,35,80,1,,,,,77.35294118,,77.35294118,,
1744340799,28,31,80,1,,,,,77.39215686,,77.39215686,,
1744340799,35,38,80,1,,,,,77.43137255,,77.43137255,,
1744340799,30,33,80,1,,,,,77.47058824,,77.47058824,,
1744340799,19,41,80,1,,,,,77.50980392,,77.50980392,,
1744340799,26,41,80,1,,,,,77.54901961,,77.54901961,,
1744340799,33,33,73,1,,,,,77.58823529,,77.58823529,,
1744340799,34,36,73,1,,,,,77.76470588,,77.76470588,,
1744340800,31,35,73,1,,,,,77.94117647,,77.94117647,,
1744340800,23,40,73,1,,,,,78.11764706,,78.11764706,,
1744340800,31,35,73,1,,,,,78.29411765,,78.29411765,,
1744340800,27,40,73,1,,,,,78.47058824,,78.47058824,,
1744340800,35,35,73,1,,,,,78.64705882,,78.64705882,,
1744340800,29,31,73,1,,,,,78.82352941,,78.82352941,,
1744340800,30,40,73,1,,,,,79,,79,,
1744340800,29,37,73,1,,,,,79.17647059,,79.17647059,,
1744340800,28,31,73,1,,,,,79.35294118,,79.35294118,,
1744340800,30,35,73,1,,,,,79.52941176,,79.52941176,,
1744340801,38,31,73,1,,,,,79.70588235,,79.70588235,,
1744340801,27,33,73,1,,,,,79.88235294,,79.88235294,,
1744340801,28,41,73,1,,,,,80.05882353,,80.05882353,,
1744340801,24,33,73,1,,,,,80.23529412,,80.23529412,,
1744340801,24,32,73,1,,,,,80.41176471,,80.41176471,,
1744340801,24,32,73,1,,,,,80.58823529,,80.58823529,,
1744340801,24,27,73,1,,,,,80.76470588,,80.76470588,,
1744340801,1528,34,73,1,,,,,80.94117647,,80.94117647,,
1744340801,872,26,73,1,,,,,81.11764706,,81.11764706,,
1744340801,872,23,73,1,,,,,81.29411765,,81.29411765,,
1744340802,872,23,73,1,,,,,81.47058824,,81.47058824,,
1744340802,533,114,73,1,,,,,81.64705882,,81.64705882,,
1744340802,626,2148,73,1,,,,,81.82352941,,81.82352941,,
1744340802,110,616,82,1,,,,,81.82352941,,81.82352941,,
1744340802,41,616,82,1,,,,,81.64705882,,81.64705882,,
1744340802,33,616,82,1,,,,,81.47058824,,81.47058824,,
1744340802,34,939,82,1,,,,,81.29411765,,81.29411765,,
1744340802,32,506,82,1,,,,,81.11764706,,81.11764706,,
1744340802,31,35,82,1,,,,,80.94117647,,80.94117647,,
1744340802,32,33,82,1,,,,,80.76470588,,80.76470588,,
1744340803,23,36,82,1,,,,,80.58823529,,80.58823529,,
1744340803,26,34,82,1,,,,,80.41176471,,80.41176471,,
1744340803,37,24,82,1,,,,,80.23529412,,80.23529412,,
1744340803,34,37,82,1,,,,,80.05882353,,80.05882353,,
1744340803,33,33,82,1,,,,,79.88235294,,79.88235294,,
1744340803,25,41,82,1,,,,,79.70588235,,79.70588235,,
1744340803,25,32,82,1,,,,,79.52941176,,79.52941176,,
1744340803,22,30,82,1,,,,,79.35294118,,79.35294118,,
1744340803,24,33,82,1,,,,,79.17647059,,79.17647059,,
1744340803,37,37,82,1,,,,,79,,79,,
1744340804,29,35,82,1,,,,,78.82352941,,78.82352941,,
1744340804,29,40,82,1,,,,,78.64705882,,78.64705882,,
1744340804,24,37,82,1,,,,,78.47058824,,78.47058824,,
1744340804,24,32,82,1,,,,,78.29411765,,78.29411765,,
1744340804,34,28,82,1,,,,,78.11764706,,78.11764706,,
1744340804,31,38,82,1,,,,,77.94117647,,77.94117647,,
1744340804,30,34,82,1,,,,,77.76470588,,77.76470588,,
1744340804,18,38,82,1,,,,,77.58823529,,77.58823529,,
1744340804,34,39,82,1,,,,,77.35294118,,77.35294118,,
1744340804,31,38,82,1,,,,,77.11764706,,77.11764706,,
1744340805,30,39,82,1,,,,,76.88235294,,76.88235294,,
1744340805,24,38,82,1,,,,,76.64705882,,76.64705882,,
1744340805,26,39,82,1,,,,,76.41176471,,76.41176471,,
1744340805,22,30,82,1,,,,,76.17647059,,76.17647059,,
1744340805,22,29,82,1,,,,,75.94117647,,75.94117647,,
1744340805,22,34,82,1,,,,,75.70588235,,75.70588235,,
1744340805,1993,31,82,1,,,,,75.47058824,,75.47058824,,
1744340805,1131,35,82,1,,,,,75.23529412,,75.23529412,,
1744340805,1131,35,82,1,,,,,75,,75,,
1744340805,1131,35,82,1,,,,,74.76470588,,74.76470588,,
1744340806,743,569,82,1,,,,,74.52941176,,74.52941176,,
1744340806,751,2146,82,1,,,,,74.29411765,,74.29411765,,
1744340806,41,279,82,1,,,,,74.05882353,,74.05882353,,
1744340806,22,279,82,1,,,,,73.82352941,,73.82352941,,
1744340806,27,27,82,1,,,,,73.58823529,,73.58823529,,
1744340806,32,845,82,1,,,,,73.35294118,,73.35294118,,
1744340806,32,333,82,1,,,,,73.11764706,,73.11764706,,
1744340806,30,34,82,1,,,,,72.88235294,,72.88235294,,
1744340806,32,39,82,1,,,,,72.64705882,,72.64705882,,
1744340806,26,35,82,1,,,,,72.41176471,,72.41176471,,
1744340807,19,36,82,1,,,,,72.17647059,,72.17647059,,
1744340807,25,37,82,1,,,,,71.94117647,,71.94117647,,
1744340807,26,34,82,1,,,,,71.70588235,,71.70588235,,
1744340807,34,30,73,1,,,,,71.52941176,,71.52941176,,
1744340807,34,35,73,1,,,,,71.52941176,,71.52941176,,
1744340807,32,32,73,1,,,,,71.52941176,,71.52941176,,
1744340807,26,33,73,1,,,,,71.52941176,,71.52941176,,
1744340807,28,40,73,1,,,,,71.52941176,,71.52941176,,
1744340807,22,35,73,1,,,,,71.52941176,,71.52941176,,
1744340807,25,31,73,1,,,,,71.52941176,,71.52941176,,
1744340808,40,27,73,1,,,,,71.52941176,,71.52941176,,
1744340808,32,34,73,1,,,,,71.52941176,,71.52941176,,
1744340808,34,36,73,1,,,,,71.52941176,,71.52941176,,
1744340808,20,36,73,1,,,,,71.52941176,,71.52941176,,
1744340808,25,39,73,1,,,,,71.52941176,,71.52941176,,
1744340808,31,28,73,1,,,,,71.52941176,,71.52941176,,
1744340808,31,33,73,1,,,,,71.52941176,,71.52941176,,
1744340808,25,30,73,1,,,,,71.52941176,,71.52941176,,
1744340808,24,34,73,1,,,,,71.52941176,,71.52941176,,
1744340808,33,32,73,1,,,,,71.52941176,,71.52941176,,
1744340809,30,33,73,1,,,,,71.52941176,,71.52941176,,
1744340809,25,36,73,1,,,,,71.52941176,,71.52941176,,
1744340809,25,38,73,1,,,,,71.52941176,,71.52941176,,
